,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Size,Standard Drinks,Varietal,Wine Body,Wine Style,Langtons Classified,Region,State,Vegan Friendly,Price Option 4,Price Option 5
52,13.5% (2012),Watson Family Vineyards,Screw Cap,Australia,2012*,Nebbiolo,$31.40 in any six,$376.80 per case of 12,$32.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.0 (2012),Nebbiolo,Full Bodied,Dry,,Margaret River,Western Australia,,,
53,14.5%,Head,Screw Cap,Australia,2016*,The Brunette Shiraz,$56.10 in any six,$336.60 per case of 6,$58.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.6,Shiraz,Full Bodied,Dry,,Barossa Valley,South Australia,,Ranked 14 of 135 Shiraz from Barossa Valley,
54,14.50%,Penfolds,Cork,Australia,,Grange 1979 Magnum 1.5L,"$3,700.00 per bottle",,,,1.5L,17.2,Shiraz,Full Bodied,Dry,Exceptional,Barossa Valley,South Australia,,,
55,14.00%,Penfolds,Screw Cap,Australia,,The Max Schubert Cabernet Shiraz 2012,$522.50 in any six,"$3,135.00 per case of 6",$550.00 per bottle,Ranked 2 of 63 Cabernet Sauvignon from South Australia,750mL,8.3,Cabernet Shiraz,,Dry,,,South Australia,,,
56,14.000000000000002%,Finca Bacara,,Australia,,Crazy Grapes Monastrell,$23.95 per bottle,$143.70 per case of 6,,,750mL,8.2,Monastrell/Mouvredre,,,,,,,,
57,13.0% (2015),Levantine Hill,Cork,Australia,2015*,Colleen's Paddock Pinot Noir,$190.00 in any six,"$1,140.00 per case of 6",$199.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.7 (2015),Pinot Noir,Light Bodied,Dry,,Yarra Valley,Victoria,,,
58,14.0%,Baily & Baily,Screw Cap,Australia,2013*,Folio Cabernet Sauvignon,$10.50 in any six,$63.00 per case of 6,$10.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.3,Cabernet Sauvignon,Full Bodied,Dry,,Coonawarra,South Australia,,,
59,13.6%,Onannon,Screw Cap,Australia,2015*,Gippsland Pinot Noir,$38.00 in any six,$228.00 per case of 6,$39.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.0,Pinot Noir,Light Bodied,Dry,,Gippsland,Victoria,,,
60,14.5%,Z Wine,Screw Cap,Australia,2015*,Rustica Cabernet Sauvignon,$19.99 per bottle,$113.94 per case of 6,$18.99 in any six,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.6,Cabernet Sauvignon,Full Bodied,Dry,,Barossa Valley,South Australia,,,
61,14.0%,Zema Estate,Screw Cap,Australia,2013*,Cluny,$23.75 in any six,$285.00 per case of 12,$24.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.3,Red Blend,,Dry,,Coonawarra,South Australia,,,
62,14.4%,d'Arenberg,Screw Cap,Australia,2013*,Coppermine Cabernet Sauvignon 2013,$61.80 in any six,$370.80 per case of 6,$64.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.4,Caberent Sauvignon,Full Bodied,Dry,,McLaren Vale,,,,
63,13.5%,Hungerford Hill,Screw Cap,Australia,,Classic Pinot Gris,$24.99 per bottle,$142.80 per case of 6,,,750mL,8.3,Pinot Gris,Light Bodied,,,Tumbarumba,New South Wales,,,
64,14.00%,Penfolds,Screw Cap,Australia,,The Max Schubert Cabernet Shiraz 2012,$522.50 in any six,"$3,135.00 per case of 6",$550.00 per bottle,Ranked 2 of 63 Cabernet Sauvignon from South Australia,750mL,8.3,Cabernet Shiraz,,Dry,,,South Australia,,,
